Name,Company,Phone,Email Address,LinkedIn Profile,Source,Relationship,Title,Preferred Communication,Latest Decision,Next Contact Date,Dream 100?
Karol Mercado,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,Buy,"August 18, 2022",
Kashif Boone,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Postpone,"July 14, 2022",TRUE
Keanu Mccartney,Company,234235,name@email.com,linkedin.com,Email List,Prospect,Partner,LinkedIn,Buy,"July 22, 2022",TRUE
Keenan Curran,Company,,name@email.com,linkedin.com,Email List,Client,Founder,Email,Buy,"August 17, 2022",TRUE
Kenya Kim,Company,,name@email.com,linkedin.com,Email List,Prospect,Author Marketing Expert,LinkedIn,Buy,"August 17, 2022",
Kierran Robbins,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Partner,Text,2nd meeting,"July 8, 2022",TRUE
Kira Burrows,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Founder,LinkedIn,Referral,"August 26, 2022",TRUE
Kirsten Macleod,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,Email,Postpone,"September 9, 2022",
Kirstie Elliott,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"August 3, 2022",
Ksawery Bloggs,Company,,name@email.com,linkedin.com,Email List,Client,Partner,Text,Buy,"July 14, 2022",TRUE
Lacey-May Braun,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Partner,Text,Buy,"September 9, 2022",TRUE
Lara Kumar,Company,,name@email.com,linkedin.com,YouTube,Client,-,Email,Buy,"August 2, 2022",
Leanne Patrick,Company,,name@email.com,linkedin.com,Email List,Prospect,Managing Partner,Text,Postpone,"July 11, 2022",TRUE
Lexi-Mai Mejia,Company,,name@email.com,linkedin.com,Email List,Client,Partner,Text,Buy,"July 20, 2022",TRUE
Lucia Brookes,,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"September 2, 2022",TRUE
Manav Mair,Company,,name@email.com,linkedin.com,Email List,Promotional Partner,SB Finance Consultant,Call,No Decision,"July 11, 2022",TRUE
Mared Booker,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Owner,Call,Referral,"July 21, 2022",TRUE
Margie Tyson,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Founder,LinkedIn,Postpone,"August 2, 2022",TRUE
May Andersen,Company,,,linkedin.com,LinkedIn,Prospect,VP,Email,No Decision,"July 22, 2022",TRUE
Melina Horne,Company,,name@email.com,linkedin.com,Email List,Promotional Partner,Personal Branding and Online Business Strategist,LinkedIn,No Decision,"July 15, 2022",TRUE
Melody Duncan,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,No Decision,"July 21, 2022",TRUE
Milton Ortega,Soul Singer Records,,name@email.com,linkedin.com,Email List,Prospect,Branding,Text,2nd meeting,"July 8, 2022",TRUE
Montague Aldred,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,VP,Email,No Decision,"September 9, 2022",TRUE
Muhammed Guerra,Company,,name@email.com,linkedin.com,YouTube,Client,Partner,Text,Buy,"July 13, 2022",TRUE
Myrtle Osborn,Company,,name@email.com,linkedin.com,Email List,Client,Founder,LinkedIn,Buy,"August 19, 2022",TRUE
Naomi Noble,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Don’t buy,"August 3, 2022",
Neil Dupont,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,No Decision,"September 9, 2022",TRUE
Neve Irving,Company,,name@email.com,linkedin.com,YouTube,Client,VP,Email,Buy,"July 12, 2022",FALSE
Nishat Key,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Owner,Email,Referral,"July 22, 2022",TRUE
Nylah Clegg,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Referral,"September 2, 2022",TRUE
Olly Howe,Company,,name@email.com,linkedin.com,Email List,Promotional Partner,-,Email,No Decision,"August 3, 2022",FALSE
Patsy Britton,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Email,No Decision,"August 16, 2022",TRUE
Pearl Blackburn,Company,,name@email.com,linkedin.com,YouTube,Client,Copywriter | Wordpress Designer,LinkedIn,No Decision,"August 2, 2022",
Priya Nixon,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Owner,Call,Buy,"July 12, 2022",TRUE
Rachael Burt,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,No Decision,"July 13, 2022",TRUE
Ramone Aldred,Company,,name@email.com,linkedin.com,Email List,Client,-,Email,No Decision,"July 15, 2022",TRUE
Raphael Turnbull,Company,555-1234,name@email.com,linkedin.com,YouTube,Client,Founder,LinkedIn,Buy,"September 9, 2022",
Rayan Allman,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,No Decision,"July 12, 2022",TRUE
Reema Partridge,Company,2343254645,name@email.com,,Email List,Prospect,Owner,Call,Postpone,"July 22, 2022",TRUE
Rhonda Hodges,Company,,name@email.com,linkedin.com,Email List,Promotional Partner,General Manager & Businesss Analyst,Text,No Decision,"September 2, 2022",TRUE
Ricky Bobby,Toys R Us,555-1234,ricky@bobby.com,https://www.linkedin.com/in/williamhgates/,Email List,Promotional Partner,Former Owner,Email,Buy,"August 4, 2022",TRUE
Rikesh Osborne,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,ECommerce systems architect,LinkedIn,Referral,"September 9, 2022",
Rikki Wills,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,No Decision,"August 5, 2022",
Robert Johnson,hjkghkhgkg,,email@email.com,linkedIn.com,Referral,Prospect,Founder,Text,No Decision,"July 15, 2022",TRUE
Rojin Sutherland,Company,642336133,name@email.com,linkedin.com,Email List,Client,Founder,Text,No Decision,"July 29, 2022",TRUE
Roksana Hickman,Company,2345678,name@email.com,linkedin.com,Email List,Promotional Partner,Owner,Email,No Decision,"August 1, 2022",TRUE
Rose David,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,No Decision,"August 19, 2022",TRUE
Ryan Crawford,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,VP,Email,2nd meeting,"July 29, 2022",TRUE
Sallie Brett,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Founder,LinkedIn,No Decision,"August 19, 2022",TRUE
Samuel Ryan,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"August 4, 2022",
Scarlet Craig,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Partner,Text,2nd meeting,"August 26, 2022",TRUE
Sebastian Kavanagh,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Postpone,"September 2, 2022",TRUE
Sherry Lawson,Company,,name@email.com,linkedin.com,Email List,Client,VP,Email,Buy,"August 4, 2022",TRUE
Shiloh Gould,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,No Decision,"July 28, 2022",TRUE
Sophia-Rose Forrest,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Partner,Text,Don’t buy,"September 2, 2022",TRUE
Sumaiya Cunningham,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,No Decision,"August 26, 2022",TRUE
Summer Green,Company,642336133,name@email.com,linkedin.com,Email List,Client,-,Text,Buy,"August 26, 2022",TRUE
Sydney Shah,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,2nd meeting,"July 18, 2022",TRUE
Tai Shepard,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Founder,Email,Postpone,"July 21, 2022",TRUE
Tashan Harmon,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,No Decision,"July 29, 2022",TRUE
Tayler Anthony,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,VP,Email,No Decision,"July 12, 2022",TRUE
Tiya Burt,Company,,name@email.com,linkedin.com,Email List,Prospect,Leadership Skills Trainer| Interview Coach| Career Development Coach,LinkedIn,No Decision,"August 3, 2022",
TOM SAWYER,Brand New Bag,555-1234,,,Email List,Client,Analyst,Email,No Decision,"September 16, 2022",TRUE
Tori Bernal,Company,,name@email.com,linkedin.com,Referral,Client,Partner,LinkedIn,No Decision,"September 9, 2022",
Tudor Barnard,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,No Decision,"September 9, 2022",TRUE
Valentino Casey,Company,,name@email.com,linkedin.com,Email List,Prospect,CEO & Founder,Call,2nd meeting,"August 17, 2022",
Veronika Hagan,New Edition Incorporated,,name@email.com,linkedin.com,Email List,Prospect,Chief,Call,No Decision,"August 4, 2022",FALSE
Violet Ortiz,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Partner,Text,No Decision,"August 19, 2022",TRUE
Weronika Levy,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"August 26, 2022",TRUE
Zackery Hoffman,Company,,name@email.com,linkedin.com,Email List,Client,Founder,LinkedIn,No Decision,"July 11, 2022",TRUE
Zhane Burks,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Owner,Call,Postpone,"July 21, 2022",TRUE
Zofia Dean,Company,,name@email.com,linkedin.com,YouTube,Client,VP,Email,Referral,"July 14, 2022",TRUE
Zohaib Dudley,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"September 9, 2022",TRUE
